"title","description","price","images.0.imageUrl","images.0.name","images.1.name","images.1.imageUrl","images.2.name","images.2.imageUrl"
"Kouign-Amaan (4)","The at-once sweet and Savory, crusty, flakey and soft, pastry from the Brittany coast of France, is the fattiest pastry in Europe. You have to have it to believe. It's an unique delicacy. Order in boxes of 4 or more.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200830_201841_875.jpg","IMG_20200830_201841_875.jpg","IMG_20201213_105947.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_105947.jpg","IMG_20201201_093713.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201201_093713.jpg"
"Bombolini - Italian Filled Doughnuts (6)","These absolutely mouth watering fluffy Sourdough doughnuts are filled with lemony pastry cream or without that as well if you so choose. It takes 36 hours to ferment. Sold in boxes of 6. ","480","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20210310_181738_025.jpg","IMG_20210310_181738_025.jpg",,,,
"Challah Bread (Veg)","These traditional and celebratory bread from Isreal signifies a Jewish tradition of Shabbath and the spirit of giving. Intricate braiding makes these breads ancenter of attraction on any dinner table. ","600","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200815_083506.jpg","IMG_20200815_083506.jpg","IMG_20200614_114122_455.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200614_114122_455.jpg",,
"Cinnamon Raisin Buns (4)","These delicious Swedish Cinnamon Raisin buns are the bestseller product from Dough & Batter. It's combination of brioche dough and cinnamon sugar butter is just right for your tea and coffee routine.  Pack of 4. ","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200801_083903.jpg","IMG_20200801_083903.jpg","IMG_20201202_101358.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201202_101358.jpg",,
"Cinnamon Star Bread","This Dough & Batter speciality and a dinner table centerpiece bread is the largest bread made by us. It's about 12""-14"" in Diameter. Filled with three layers of cinnamon sugar butter layered within Swedish brioche dough, creates the most intricate bread design. ","1000","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200419_092134.jpg","IMG_20200419_092134.jpg","IMG_20200419_142129_078.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200419_142129_078.jpg","IMG_20200419_092150.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200419_092150.jpg"
"Croissants (2)","The original Austrian recipie from Vienna for Croissants, the most flakey and buttery pastry. This is plain butter croissant. You can also order the stuffed ones. Comes in pack of 2.","150","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201013_211946_117.jpg","IMG_20201013_211946_117.jpg","IMG_20201213_105717.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201213_105717.jpg",,
"Croissants with fillings (2)","Original Croissants with addon of Jam, Cheese , Zataar, Chocolate or Cinnamon butter. Pack of 2.","180","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200729_152008_407.jpg","IMG_20200729_152008_407.jpg",,,,
"Digestive Cookies","These cookies will beat any store-bought versions hands down by the taste and quality. Pure and simple ingredients combines with skill and love creates the most delicious and healthy whole-wheat alternative. To be consumed with your morning tea or afternoon coffee.","250","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201018_082248_783.jpg","IMG_20201018_082248_783.jpg","IMG_20200924_074906_965.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200924_074906_965.jpg","IMG_20201130_065004.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20201130_065004.jpg"
"Epi Bread","French Pain D’Epi (wheat stalk bread) is a super easy bread that is harder to spell than it is to bake. This rustic French epi bread is named for its resemblance to wheat stalk and makes for an awesome pull apart bread for a potluck or a next level centerpiece. Sold like Baguettes.","300","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200709_090912.jpg","IMG_20200709_090912.jpg","IMG_20200709_090559.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200709_090559.jpg",,
"Foccacia","This traditional Foccacia has many customers who swear by the authenticity and taste. Made to your taste. This is nothing like your store bought bread Foccacia. It takes you straight back to the bylanes of Italy. Price is for half kg slice.
","500","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200209_073943.jpg","IMG_20200209_073943.jpg","IMG_20200818_093718.jpg","https://storage.googleapis.com/annam-9d5da-product-image/IMG_20200818_093718.jpg",,
